case,rows,columns,requested_rank,measured_rank,redundant_rows,paired_output_error,consistent_feasibility_residual,fixed_f_difference,representable_target_roundtrip_error,f_vs_w_gradient_error,f_finite_difference_error,w_finite_difference_error,scaled_trajectory_error,mp_max_residual,inconsistent_tested,inconsistent_paired_error,inconsistent_residual
92,6,2,1,1,5,0.0,5.551115123125783e-17,0.8258548783418339,2.7755575615628914e-17,0.0,6.753256287517218e-10,6.753256287517218e-10,2.220446049250313e-16,5.551115123125783e-17,False,0.0,0.0
93,6,3,3,3,3,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,2.220444844110245e-10,1.2051400682161594e-16,1.1102230246251565e-16,1.1102230246251565e-16,True,2.220446049250313e-16,0.3420769678918977
94,1,2,1,1,0,2.220446049250313e-16,2.220446049250313e-16,0.3204160976327195,0.0,0.0,5.826117366325434e-11,5.826117366325434e-11,2.220446049250313e-16,5.551115123125783e-17,False,0.0,0.0
95,8,4,1,1,7,5.551115123125783e-17,5.551115123125783e-17,0.7763266212656695,1.3877787807814457e-17,0.0,1.0469664024626013e-10,6.901411386817102e-11,2.220446049250313e-16,5.551115123125783e-17,False,0.0,0.0
96,9,2,1,1,8,1.1102230246251565e-16,2.220446049250313e-16,0.2832883922692636,0.0,0.0,4.0897951691931667e-11,4.480082971269894e-12,1.6653345369377348e-16,2.220446049250313e-16,True,5.551115123125783e-17,0.3266575702245749
97,7,4,1,1,6,2.220446049250313e-16,1.1102230246251565e-16,0.4213739974244989,0.0,0.0,8.511102933539405e-11,8.511102933539405e-11,2.220446049250313e-16,2.220446049250313e-16,False,0.0,0.0
98,10,5,2,2,8,5.551115123125783e-17,1.1102230246251565e-16,1.0167547820091927,1.1102230246251565e-16,0.0,9.792117117157773e-11,9.792117117157773e-11,3.3306690738754696e-16,2.220446049250313e-16,False,0.0,0.0
99,2,7,1,1,1,1.6653345369377348e-16,4.440892098500626e-16,0.6912761451547275,5.551115123125783e-17,0.0,6.087036430457715e-10,4.133524494909224e-10,3.3306690738754696e-16,1.1102230246251565e-16,True,1.1102230246251565e-16,0.36197151683540296
100,7,8,3,3,4,2.220446049250313e-16,8.881784197001252e-16,0.9530547313456659,5.551115123125783e-17,0.0,2.2608093175335853e-10,2.899606110773334e-10,4.440892098500626e-16,8.881784197001252e-16,False,0.0,0.0
101,2,6,2,2,0,1.1102230246251565e-16,1.1102230246251565e-16,0.3177365067626332,4.163336342344337e-17,0.0,1.6887979903401629e-10,1.6887979903401629e-10,2.7755575615628914e-16,1.1102230246251565e-16,False,0.0,0.0
102,10,5,2,2,8,1.1102230246251565e-16,4.440892098500626e-16,0.6070368575890183,2.220446049250313e-16,0.0,2.3102791901763453e-10,1.8665413659135766e-10,4.440892098500626e-16,2.220446049250313e-16,True,2.220446049250313e-16,0.2875387349309856
103,2,3,2,2,0,1.1102230246251565e-16,1.1102230246251565e-16,0.12022736634564266,1.1102230246251565e-16,0.0,5.033373717822087e-11,6.069100777494896e-11,2.220446049250313e-16,1.1102230246251565e-16,False,0.0,0.0
104,7,2,1,1,6,2.220446049250313e-16,2.220446049250313e-16,0.6831515131673813,6.245004513516506e-17,0.0,2.323654602065517e-10,4.54410065131583e-10,2.220446049250313e-16,2.220446049250313e-16,False,0.0,0.0
105,9,5,2,2,7,3.3306690738754696e-16,8.881784197001252e-16,0.7903620359096671,2.7755575615628914e-16,0.0,4.127569397383013e-10,1.9071233481327e-10,4.440892098500626e-16,4.440892098500626e-16,True,1.1102230246251565e-16,0.23284977337397894
106,10,6,1,1,9,5.551115123125783e-17,1.6653345369377348e-16,0.8390528629470927,2.7755575615628914e-17,0.0,4.3743630939729883e-10,4.3743630939729883e-10,2.7755575615628914e-16,2.220446049250313e-16,False,0.0,0.0
107,5,2,2,2,3,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,1.1102238652048782e-10,8.405797216695982e-17,1.1102230246251565e-16,1.1102230246251565e-16,False,0.0,0.0
108,1,7,1,1,0,1.1102230246251565e-16,1.1102230246251565e-16,0.8617454547725497,0.0,0.0,2.2376789310385448e-10,3.51071838267103e-10,2.7755575615628914e-16,1.1102230246251565e-16,False,0.0,0.0
109,5,7,4,4,1,2.220446049250313e-16,1.3322676295501878e-15,0.6240208063073757,1.1102230246251565e-16,0.0,2.586439951102193e-10,2.2459611948022484e-10,4.440892098500626e-16,8.881784197001252e-16,False,0.0,0.0
110,10,4,4,4,6,1.6653345369377348e-16,8.881784197001252e-16,2.220446049250313e-16,5.551115123125783e-17,0.0,1.1102239514810797e-10,9.268559231423666e-17,1.6653345369377348e-16,8.881784197001252e-16,False,0.0,0.0
111,8,8,5,5,3,1.6653345369377348e-16,1.3322676295501878e-15,0.6165153128585334,1.1102230246251565e-16,0.0,1.1966602708746166e-10,9.315914706320427e-11,4.440892098500626e-16,8.881784197001252e-16,True,1.6653345369377348e-16,0.336657611289924
112,2,6,1,1,1,1.1102230246251565e-16,1.8041124150158794e-16,0.8336326507876292,1.0842021724855044e-17,0.0,9.953926571881766e-11,2.7473226471563805e-10,2.220446049250313e-16,2.220446049250313e-16,False,0.0,0.0
113,7,8,4,4,3,1.6653345369377348e-16,4.440892098500626e-16,0.8259241244800144,1.6653345369377348e-16,0.0,3.709679785579567e-10,2.868422721569175e-10,3.3306690738754696e-16,2.220446049250313e-16,False,0.0,0.0
114,1,6,1,1,0,2.220446049250313e-16,0.0,0.9075832238974354,0.0,0.0,5.953748605236342e-11,1.6536448599335785e-10,3.3306690738754696e-16,1.1102230246251565e-16,False,0.0,0.0
115,2,2,1,1,1,1.1102230246251565e-16,4.440892098500626e-16,0.8569034246996861,2.220446049250313e-16,0.0,1.2333323251567663e-10,1.2333323251567663e-10,3.3306690738754696e-16,1.1102230246251565e-16,False,0.0,0.0
116,10,8,8,8,2,1.3322676295501878e-15,1.0658141036401503e-14,4.440892098500626e-16,7.771561172376096e-16,0.0,1.3322676030598218e-09,5.160393346358348e-16,1.3322676295501878e-15,2.6645352591003757e-15,False,0.0,0.0
